investor_count,select_investors,total_raised
26,"Tiger Global, Sequoia Capital, Google Capital",698850000.0
16,"Thrive Capital, Founders Fund, Cocnord Health Partners",350810000.0
13,"Sequoia Capital India, Softbank, Bertelsmann India Investments",593460000.0
23,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",3110000000.0
24,"Third Point, Electric Capital, Coinbase Ventures",282500000.0
27,"M12, WestBridge Capital, Lightspeed Venture Partners",375680000.0
10,"Accel, Sequoia Capital, Y Combinator",331120000.0
5,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",3940000000.0
10,"Playground Global, M12, BlackRock",728500000.0
13,"Dragoneer Investment Group, DST Global, Franklin Templeton",6000000000.0
21,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",1447000000.0
11,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",4750000000.0
24,"Kaszek Ventures, Qualcomm Ventures, Accel",628300000.0
24,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",868670000.0
10,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",7750000000.0
8,"Global Founders Capital, East Ventures, Expedia Inc.",1170000000.0
22,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",1282000000.0
1,CPP Investment Board,9000000000.0
34,"General Catalyst, Digital Currency Group, Accel",712500000.0
17,"Sequoia Capital China, Xiang He Capital, GGV Capital",3435000000.0
16,"Times Internet, Nexus Venture Partners, SoftBank Group",1361000000.0
16,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",1211000000.0
9,"Benchmark, Bessemer Venture Partners",1800000000.0
19,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",479910000.0
17,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",5250000000.0
4,"ICONIQ Capital, OpenView Venture Partners",350550000.0
44,"ConsenSys Ventures, Valar Ventures, PUC",512750000.0
4,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",3600000000.0
14,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",986300000.0
14,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",1660000000.0
4,Iconiq Capital,481500000.0
36,"Brookfield Asset Management, Blackstone, Data Collective",523180000.0
13,"Balderton Capital, General Catalyst, Tiger Global Management",3310000000.0
13,"Uncork Capital, Threshold Ventures, Bloomberg Beta",330340000.0
8,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",426500000.0
5,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",330230000.0
14,"Coatue Management, Atlantic Food Labs, DST Global",1335000000.0
18,"Fabric Ventures, 500 Global, Standard Crypto",1610000000.0
13,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",240020000.0
10,"Tiger Global Management, Insight Partners, Jump Capital",339370000.0
17,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",399890000.0
12,"Accel, Summit Partners, Google Ventures",422220000.0
23,"83North, RiverPark Ventures, Pitango Venture Capital",697060000.0
28,"Andreessen Horowitz, Blockchain Capital, Lux Capital",4870000000.0
5,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",486500000.0
17,"Khosla Ventures, Thrive Capital, Y Combinator",329320000.0
41,"Green Visor Capital, CRE Venture Capital, Greycroft",474710000.0
18,None,3280000000.0
11,"Bnk To The Future, Trammell Ventures, SBI Investment",18570000.0
6,Khosla Ventures,1250000000.0
3,"Grab, Tokopedia, Tokyo Century Corporation",1160000000.0
16,"Founders Fund, Quantum Energy Partners, Bedrock Capital",752500000.0
34,"Monashees+, Andreessen Horowitz, QED Investors",7880000000.0
22,"Insight Partners, Sequoia Capital India, BEENEXT",702250000.0
13,"Point72 Ventures, Route 66 Ventures, Accel",537710000.0
10,"Mubadala Capital, Bond, Prosus Ventures",1042000000.0
9,"Tiger Global Management, Blue Lake Capital, ZhenFund",651600000.0
11,"Highland Europe, Eurazeo, Canaan Partners",8120000000.0
37,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",487160000.0
29,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",6820000000.0
18,"Data Collective, Formation 8, General Catalyst Partners",557150000.0
43,"Greylock Partners, capitalG, Y Combinator",675460000.0
31,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",461400000.0
6,"Makers Fund, Index Ventures, Inova Ventures Participacees",467200000.0
11,"General Atlantic, Insight Partners, Vintage Investment Partners",5830000000.0
13,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",3146000000.0
28,"Notion Capital, Scentan Ventures, Kite Ventures",1103000000.0
2,Goldman Sachs Asset Management,207500000.0
3,KKR,4200000000.0
12,"General Atlantic, Piton Capital, Partech Partners",708730000.0
8,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2230000000.0
18,"Contour Venture Partners, Battery Ventures, Core Capital Partners",359170000.0
15,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",712930000.0
16,None,470710000.0
8,"JD.com, Baidu, Vision Plus Capital",1330000000.0
20,"Foundry Group, General Atlantic, BlackRock",418450000.0
20,Rhone Capital,418450000.0
11,"FAW Group, Tencent Holdings, Tus Holdings",1208000000.0
8,"Goldman Sachs, VebVentures, Insight Partners",427510000.0
10,"Coatue Managemeny, Trinity Ventures, Matrix Partners",262820000.0
18,"Chiratae Ventures, PremjiInvest, Softbank",675900000.0
26,"Accel, Tiger Global Management, Nexus Venture Partners",381400000.0
14,"Warburg Pincus, The Rise Fund, HarbourVest Partners",991330000.0
10,"Aspect Ventures, SingTel Innov8, Greylock Partners",5120000000.0
6,"Warburg Pincus, General Catalyst",561820000.0
16,"CRV, Accel, Google Ventures",3130000000.0
12,"Accel, Bain Capital Ventures, Insight Partners",728200000.0
24,"Sequoia Capital India, Kae Capital, Accel",656670000.0
25,"Chiratae Ventures, March Capital Partners, National Grid Partners",626630000.0
14,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",4650000000.0
21,"Soros Fund Management, Ribbit Capital, Monashees+",6080000000.0
30,"Sequoia Capital India, RTP Global, Go-Ventures",377700000.0
8,"SoftBank Group, CRV, Spark Capital",713620000.0
4,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",535860000.0
9,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",125580000.0
24,"Google Ventures, Sequoia Capital, Wakefield Group",6920000000.0
22,"Info Edge, Softbank Capital",633780000.0
9,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners",3900000000.0
9,"Menlo Ventures, GGV Capital, Flybridge Capital Partners",3900000000.0
22,"T. Rowe Price, Dragoneer Investment Group, BlackRock",711730000.0
9,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment",483500000.0
20,"Emergence Capital Partners, 8VC, Chicago Ventures",928800000.0
8,"Octopus Ventures, Munich Re Ventures, CommerzVentures",477270000.0
20,"Kibo Ventures, SoftBank Group, Atomico",1072000000.0
3,"IMM Investment, NXC",486650000.0
32,"V FUND, IDG Capital, Green Pine Capital Partners",288220000.0
3,"Tencent Holdings, Goldman Sachs",569950000.0
8,"Revolution, New Enterprise Associates, Caterpillar",3170000000.0
8,"Google Ventures, Index Ventures, Scale Venture Partners",417300000.0
4,"RedBird Capital Partners, CJ ENM, Tencent Holdings",2075000000.0
22,"Relay Ventures, TTV Capital, Canapi Ventures",556500000.0
31,"Temasek, Google Ventures, General Catalyst",630900000.0
6,"Summit Partners, Noshaq, Sofinnova Partners",3190000000.0
10,"Goodwater Capital, Warburg Pincus, GS Growth",433700000.0
9,"Global Founders Capital, Aglae Ventures, Alven Capital",420890000.0
6,"Softbank Group, AME Cloud Ventures, SignalFire",445690000.0
28,"Accel, Alven Capital, Storm Ventures",334340000.0
5,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners,/td>",2770000000.0
1,General Atlantic,0.0
2,Sequoia Capital,286360000.0
18,"Expa, QED Investors, Foundation Capital",383410000.0
22,"Pantera Capital, QED Investors, Coinbase Ventures",314660000.0
10,"General Atlantic, SoftBank Group, Atomico",529160000.0
8,"Sierra Ventures, Battery Ventures, Asset Management Ventures",257640000.0
15,"Andreessen Horowitz, Google Ventures, Section 32",425960000.0
17,"Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners",7100000000.0
8,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners",4220000000.0
16,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital",276350000.0
5,"Deer Park Road, Altamont Capital Partners, Eldridge",1900000000.0
20,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",717290000.0
11,"Sequoia Capital China, Banyan Capital",385120000.0
18,"8VC, D1 Capital Partners, Sway Ventures",513930000.0
18,"Eight Roads Ventures, One Peak Partners, Creandum",581100000.0
14,"Plug and Play Ventures, Valor Capital Group, DST Global",3450000000.0
15,"SoftBank Group, SAIF Partners India, Valiant Capital Partners",8310000000.0
6,"Foundation Capital, Institutional Venture Partners, General Catalyst",3970000000.0
9,"Accel, Silversmith Capital Partners, capitalG",214920000.0
17,"VY Capital, Accel, Elevation Capital",441240000.0
3,"ICONIQ Growth, Bain Capital Ventures, Summit Partners",0.0
11,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers",3050000000.0
13,"GSR Ventures, Sapphire Ventures, Streamlined Ventures",533750000.0
24,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera",214100000.0
16,"Accel, Passion Capital, Balderton Capital",529320000.00000006
1,L Capital Partners,2000000000.0
14,"RRE Ventures, Tiger Global, August Capital",1730000000.0
13,"Accel Partners, Index Ventures, Insight Venture Partners",564300000.0
13,"Zheshang Venture Capital, GP Capital, Western Capital Management",519630000.0
10,"Y Combinator, Matrix Partners, Benchmark",2860000000.0
7,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",603930000.0
11,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",152190000.0
24,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",261250000.0
39,"Sequoia Capital China, China Construction Bank, Bank of China",9300000000.0
28,"Insight Venture Partners, TPG Growth, Sound Ventures",217980000.0
