ID,Financial Stage,Founded Year,Year Joined
UC_939,None,2014,2021
UC_940,None,2007,2021
UC_941,None,2015,2021
UC_942,None,2013,2021
UC_943,None,2004,2021
UC_944,None,2019,2021
UC_945,None,2007,2021
UC_946,None,2014,2021
UC_947,None,2012,2021
UC_948,None,2015,2021
UC_950,None,2014,2021
UC_951,None,2020,2021
UC_952,None,2005,2021
UC_953,None,2018,2021
UC_954,None,2013,2021
UC_957,None,2014,2021
UC_958,None,2016,2021
UC_959,None,2019,2021
UC_960,None,2016,2021
UC_961,None,2010,2021
UC_962,None,2020,2021
UC_963,None,2014,2021
UC_964,None,2014,2021
UC_965,None,2014,2021
UC_966,None,2018,2021
UC_967,None,2015,2021
UC_968,None,2017,2021
UC_969,None,2019,2021
UC_970,None,2017,2021
UC_971,None,2016,2021
UC_972,None,2009,2021
UC_973,None,2005,2021
UC_974,None,2014,2021
UC_975,None,2015,2021
UC_976,None,1999,2021
UC_977,None,2011,2021
UC_978,None,2015,2021
UC_979,None,2015,2021
UC_980,None,2009,2021
UC_981,None,2020,2021
UC_982,None,2020,2021
UC_983,None,2012,2021
UC_984,None,2014,2021
UC_985,None,2018,2021
UC_986,None,2013,2021
UC_987,None,2021,2021
UC_988,None,2017,2021
UC_989,None,2020,2021
UC_991,None,2016,2021
UC_992,None,2016,2021
UC_993,None,2014,2021
UC_994,None,2015,2021
UC_995,None,2014,2021
UC_996,None,2019,2021
UC_997,None,2020,2021
UC_998,None,2008,2021
UC_999,None,2019,2021
UC_1000,None,2010,2021
UC_1001,None,2007,2021
UC_1002,None,2011,2021
UC_1003,None,2012,2021
UC_1004,None,2011,2021
UC_1005,None,2020,2021
UC_1006,None,2006,2021
UC_1007,None,2020,2021
UC_1008,None,2020,2021
UC_1009,None,2016,2021
UC_1010,None,2018,2021
UC_1011,None,2019,2021
UC_1012,None,2017,2021
UC_1013,None,2013,2021
UC_1014,None,2011,2021
UC_1015,None,2000,2022
UC_1016,None,2005,2022
UC_1017,None,2009,2022
UC_1018,None,2016,2022
UC_1019,None,2015,2022
UC_1020,None,2015,2022
UC_1021,None,2014,2022
UC_1022,None,2012,2022
UC_1023,None,2015,2022
UC_1024,None,2018,2022
UC_1025,None,2018,2022
UC_1026,None,2009,2022
UC_1027,None,2018,2022
UC_1029,None,2020,2022
UC_1030,None,2014,2022
UC_1031,None,2017,2022
UC_1032,None,2015,2022
UC_1033,None,2019,2022
UC_1034,None,2011,2022
UC_1035,None,2017,2022
UC_1036,None,2008,2022
