total_raised,founded_year,year_joined
2560000000.0,2009,2019
227340000.0,2015,2021
246100000.0,2015,2020
5950000000.0,2014,2017
116200000.0,2017,2021
622120000.0,2014,2021
2600000000.0,2018,2021
2550000000.0,2015,2021
155900000.0,2016,2021
156340000.0,2015,2022
2470000000.0,2018,2022
159120000.0,2014,2022
296770000.0,2007,2017
470520000.0,2018,2021
7000000000.0,2020,2021
101970000.0,2020,2021
0.0,2016,2020
911620000.0,2007,2021
166200000.0,2012,2022
8000000000.0,2005,2016
267400000.0,2014,2019
11300000.0,1999,2020
345500000.0,2012,2020
263900000.0,2008,2021
263900000.0,2008,2021
1950000000.0,2017,2021
3100000000.0,2018,2021
267730000.00000003,2017,2021
175310000.0,2017,2021
678350000.0,2010,2021
352480000.0,2011,2021
190730000.0,2016,2021
3970000000.0,2016,2021
1920000000.0,2012,2021
615830000.0,2016,2021
3000000000.0,2019,2021
3000000000.0,2019,2021
3150000000.0,2019,2021
181500000.0,2013,2021
281300000.0,2012,2021
361230000.0,2015,2021
517500000.0,2016,2021
201960000.0,2013,2021
123700000.0,2018,2021
276050000.0,2013,2021
1460000000.0,2017,2021
536100000.0,2008,2021
283880000.0,2015,2021
111100000.0,2018,2021
176670000.0,2018,2021
4300000000.0,2021,2021
4450000000.0,2020,2021
188200000.0,2017,2022
292500000.0,2012,2022
118500000.0,2021,2022
371690000.0,2015,2022
472940000.0,2012,2022
2510000000.0,2013,2022
368260000.0,2010,2021
118640000.0,2009,2016
1003000000.0,2014,2019
188150000.0,2012,2017
553610000.0,2015,2019
168060000.0,2017,2021
1970000000.0,2017,2021
580450000.0,2011,2018
3207000000.0,2018,2020
343700000.0,2011,2015
1740000000.0,2000,2020
3390000000.0,2015,2021
1500000000.0,2019,2021
444630000.0,2009,2022
266980000.00000003,2013,2019
201040000.0,2015,2021
193240000.0,2014,2019
373440000.0,2009,2014
558360000.0,2009,2015
136050000.0,2012,2016
1243000000.0,1999,2016
706600000.0,2011,2017
884790000.0,2009,2019
1330000000.0,2000,2019
2780000000.0,2004,2020
4760000000.0,2010,2020
310020000.0,2015,2021
329900000.0,2004,2021
255500000.0,2016,2021
1300000000.0,2017,2021
197670000.0,2016,2021
265070000.0,2012,2021
2170000000.0,2017,2021
2170000000.0,2017,2021
109400000.0,2017,2021
4430000000.0,2012,2021
192500000.0,2019,2021
151600000.0,2014,2021
750370000.0,2017,2021
4280000000.0,2016,2021
120980000.0,2014,2021
900000000.0,2018,2021
553500000.0,2013,2021
136050000.0,2018,2021
291500000.0,2021,2021
1660000000.0,2012,2022
287880000.0,2001,2022
2050000000.0,2019,2022
53050000.0,2015,2018
154300000.0,2016,2021
285710000.0,2008,2017
200110000.0,1990,2017
319890000.0,2014,2019
153300000.0,2016,2021
249210000.0,2009,2015
131940000.0,2015,2019
219640000.0,2013,2021
217200000.0,2014,2021
284520000.0,2009,2021
62120000.0,2000,2019
77400000.0,2010,2018
1761000000.0,2015,2018
2810000000.0,2007,2013
1776000000.0,2008,2014
3000000000.0,2010,2014
510600000.0,2007,2014
520000000.0,2013,2015
1050000000.0,2000,2015
224400000.0,2011,2015
1200000000.0,2011,2015
345550000.0,2013,2015
2930000000.0,2011,2015
324650000.0,2011,2015
231600000.0,2011,2015
3000000000.0,2014,2015
3200000000.0,2009,2015
223290000.0,2001,2015
3150000000.0,1998,2015
348500000.0,2012,2016
1990000000.0,2015,2016
2550000000.0,2003,2016
0.0,2002,2016
259640000.0,2012,2017
9900000000.0,2015,2017
393790000.0,2010,2017
361250000.0,2012,2017
6490000000.0,2012,2017
546970000.0,2000,2017
182050000.0,1997,2017
15400000.0,2015,2017
8960000000.0,2013,2017
3000000000.0,2013,2017
6720000000.0,2000,2018
2000000000.0,2013,2018
3300000000.0,2016,2018
630000000.0,2010,2018
522800000.0,2010,2018
253020000.0,2014,2018
613160000.0,2007,2018
2300000000.0,2016,2021
3940000000.0,1998,2018
820000000.0,2016,2018
368600000.0,2009,2018
3390000000.0,2014,2018
696760000.0,2015,2018
51930000.0,2011,2018
1283000000.0,2016,2018
138530000.0,2009,2018
3960000000.0,2013,2018
629580000.0,2015,2018
1700000000.0,2011,2018
591860000.0,2011,2018
433610000.0,2015,2018
433610000.0,2015,2018
310300000.0,2015,2019
393400000.0,2011,2019
287850000.0,2014,2019
1580000000.0,2014,2019
0.0,2015,2019
327180000.0,2012,2019
0.0,2017,2019
306160000.0,2014,2019
2036000000.0,2005,2019
297500000.0,2016,2019
1365000000.0,2011,2019
95910000.0,2011,2019
539680000.0,2008,2019
4600000000.0,2012,2019
614440000.0,2014,2019
588070000.0,2015,2020
130300000.0,2011,2020
2790000000.0,2015,2020
620000000.0,2005,2020
1920000000.0,2016,2020
978400000.0,2016,2020
8000000000.0,2006,2020
5970000000.0,2014,2020
1000000000.0,2020,2020
3610000000.0,2012,2020
247610000.0,2014,2020
200180000.0,2015,2020
2510000000.0,2015,2021
140230000.0,2015,2021
304580000.0,2009,2021
3700000000.0,2006,2021
111500000.0,2006,2021
3250000000.0,2015,2021
3600000000.0,2017,2021
315820000.0,2014,2021
235620000.0,2017,2021
126500000.0,2011,2021
230310000.0,2016,2021
3440000000.0,2014,2021
170720000.0,2013,2021
2650000000.0,2015,2021
352320000.0,2007,2021
259180000.0,2012,2021
1630000000.0,2018,2021
277800000.0,2009,2021
397280000.0,2011,2021
165710000.0,2016,2021
341510000.0,2014,2021
255080000.0,2012,2021
3070000000.0,2016,2021
362550000.0,2016,2021
3910000000.0,2019,2021
13100000.0,2018,2021
156520000.0,2011,2021
5700000000.0,2016,2021
187570000.0,2013,2021
173920000.0,2015,2021
2000000000.0,2015,2021
100250000.0,2014,2021
480340000.0,2013,2021
319720000.0,2014,2021
221030000.0,2016,2021
64080000.0,2018,2021
64080000.0,2018,2021
206320000.0,2009,2021
126550000.0,2016,2021
126550000.0,2016,2021
154030000.0,2013,2021
80000000.0,1993,2021
2630000000.0,2015,2021
110590000.0,2017,2021
684520000.0,2015,2021
119830000.0,2014,2021
184500000.0,2013,2021
6320000000.0,2015,2021
91500000.0,2011,2021
225630000.0,2014,2021
157620000.0,2012,2021
910000000.0,2014,2021
216500000.0,2010,2021
331100000.0,2014,2021
573820000.0,2013,2021
502200000.0,2018,2021
502200000.0,2018,2021
108030000.0,2018,2021
371290000.0,2015,2021
217300000.0,2016,2021
217300000.0,2016,2021
1500000.0,2020,2021
0.0,2020,2021
273250000.0,2015,2021
132350000.0,2005,2021
330880000.0,2015,2021
259100000.00000003,2014,2021
235940000.0,2007,2021
335020000.0,2015,2021
238120000.0,2013,2021
203750000.0,2004,2021
1350000000.0,2019,2021
293610000.0,2007,2021
199470000.0,2014,2021
72440000.0,2012,2021
345350000.0,2015,2021
98960000.0,2014,2021
131460000.0,2020,2021
938710000.0,2005,2021
3500000000.0,2018,2021
396060000.0,2013,2021
215010000.0,2014,2021
271800000.0,2016,2021
0.0,2019,2021
271800000.0,2016,2021
228790000.0,2010,2021
1000000000.0,2020,2021
976500000.0,2014,2021
308380000.0,2014,2021
238300000.0,2014,2021
245220000.0,2018,2021
3380000000.0,2015,2021
1100000000.0,2017,2021
255340000.0,2019,2021
171850000.0,2017,2021
328430000.0,2016,2021
248960000.0,2009,2021
671930000.0,2005,2021
210080000.0,2014,2021
377930000.0,2015,2021
0.0,1999,2021
2940000000.0,2011,2021
142270000.0,2015,2021
1100000000.0,2015,2021
64500000.0,2009,2021
128200000.0,2020,2021
558710000.0,2020,2021
2130000000.0,2012,2021
2690000000.0,2014,2021
130600000.0,2018,2021
287830000.0,2013,2021
228580000.0,2021,2021
6620000.0,2017,2021
1000000000.0,2020,2021
254100000.0,2016,2021
257800000.0,2016,2021
371400000.0,2014,2021
303730000.0,2015,2021
402050000.0,2014,2021
2050000000.0,2019,2021
108500000.0,2020,2021
492050000.0,2008,2021
160600000.0,2019,2021
0.0,2010,2021
3300000000.0,2007,2021
126350000.0,2011,2021
508480000.0,2012,2021
260330000.0,2011,2021
766700000.0,2020,2021
397860000.0,2006,2021
1410000000.0,2020,2021
2200000000.0,2020,2021
440000000.0,2016,2021
517900000.0,2018,2021
203910000.0,2019,2021
2330000000.0,2017,2021
601590000.0,2013,2021
4860000000.0,2011,2021
6880000000.0,2000,2022
501640000.0,2005,2022
2830000000.0,2009,2022
166340000.0,2016,2022
1850000000.0,2015,2022
106700000.0,2015,2022
126300000.0,2014,2022
315430000.0,2012,2022
144430000.0,2015,2022
202500000.0,2018,2022
79420000.0,2018,2022
2730000000.0,2009,2022
236500000.0,2018,2022
63750000.0,2020,2022
1710000000.0,2014,2022
136510000.0,2017,2022
181060000.0,2015,2022
7000000000.0,2019,2022
449720000.0,2011,2022
525500000.0,2017,2022
604500000.0,2008,2022
