,Month,Company/Brand,Founded,Headquarters,Sector,Investor/s,Amount ($),Stage
733,June,IntelleWings,2019.0,Panchkula,IT startup,,100000,Seed
734,June,Shyplite,2016.0,New Delhi,Logistics,N+1 Capital,1000000,Pre-series B
735,June,Refyne,2020.0,Bangalore,FinTech,"DST Global, RTP Global",20000000,Series A
736,June,Greenjoules,2018.0,Pune,Renewable Energy,Blue Ashva Capital,4500000,Series A
739,June,Kale Logistics,2010.0,Thane,Logistics,Inflexor Ventures,5000000,Series A
740,June,CustomerGlu,2016.0,Bangalore,CRM,"Kumar Aakash, Amit Singhal",320000,Pre-series B
741,June,Cell Propulsion,2016.0,Bangalore,EV startup,growX ventures,2000000,Pre-series B
743,June,Pee Safe,2013.0,Gurugram,HealthCare,"Shaival Desai, Alkemi Venture Partners",3000000,Pre-series B
745,June,SimpliContract,2020.0,Bangalore,Software,Kalaari Capital,1800000,Seed
746,June,Dropshop,2019.0,Bangalore,Logistics,Inflection Point Ventures,1000000,Pre-series A
749,June,Power Gummies,2018.0,New Delhi,Nutrition,"Venture Catalysts, 9unicorns",1000000,Pre-series B
750,June,Convosight,2019.0,New Delhi,SaaS startup,Qualgro,9000000,Series A
751,June,Junio,2020.0,New Delhi,FinTech,"Amit Lakhotia, Pravin Jadhav",600000,Seed
752,June,Wherehouse.io,2020.0,New Delhi,Logistics,Better Capital,Undisclosed,Seed
753,June,Flexmoney,2015.0,Mumbai,FinTech,Pravega Ventures,4800000,Series A
754,June,Fampay,2019.0,Bangalore,FinTech,"Greenoaks Capital, Elevation Capital",38000000,Series A
756,June,XYXX Apparels,2017.0,Surat,Fashion,https://sauce.vc/,4000000,Series A
758,June,BrowserStack,2011.0,Mumbai,SaaS startup,Accel,200000000,Series B
759,June,Vital,2018.0,New Delhi,Insuretech,BLinC Invest,3000000,Pre-series A
761,June,Samaaro,2020.0,Bangalore,SaaS startup,"Chaitanya Kalipatnapu, Kedar Gavane",125000,Pre-series B
763,June,MSMEx,2019.0,Andheri,EdTech,"TNF Ventures, Razorpay",1000000,Pre-series A
765,June,saarthi.ai,2017.0,Bangalore,AI startup,Nvidia Inception,Undisclosed,Seed
766,June,Kutumb,2020.0,Bangalore,Community platform,"Tiger Global Management, DST Global",26000000,Series A
767,June,Superplum,2019.0,Noida,AgriTech,Marquee investors,3800000,Pre-series A
768,June,Upside AI,2017.0,Mumbai,FinTech,Endiya Partners,1200000,Seed
771,June,Skillmatics,2016.0,Mumbai,EdTech,Sequoia Capital India,6000000,Series A
772,June,Bimaplan,2020.0,Bangalore,Insuretech,"Roshan Abbas, Ritesh Malik",2500000,Pre-series A
773,June,Bueno Finance,2019.0,Gurugram,FinTech,"Goat Capital, JAM Fund",3000000,Seed
775,June,BYJU’S,2011.0,Bangalore,EdTech,"Blackstone Group, ADQ",50000000,Pre-series B
776,June,India Quotient,2012.0,Mumbai,Venture capitalist,,64000000,Pre-series B
777,June,The Switch Fix,2019.0,Gurugram,HealthCare,"Venture Catalysts, 9Unicorns",Undisclosed,Seed
778,June,Anvidha Technologies,2020.0,Haryana,Tech Startup,,1500000,Seed
779,June,DigiSparsh,2020.0,Mumbai,FinTech,GoAhead Ventures,Undisclosed,Seed
780,June,CoffeeMug.ai,2020.0,New Delhi,Networking,"Paradigm Shift Capital, AngelList India",620000,Pre-seed
781,June,Pathfndr.io,2015.0,Bangalore,SaaS startup,Arali Ventures,Undisclosed,Pre-series A
782,June,BigLeap,2015.0,Hyderabad,Recruitment,Anup Kumar Yama,600000,Pre-series B
783,June,Kazam,2020.0,Bangalore,EV startup,Inflection Point Ventures,900000,Seed
784,June,MYRE Capital,2020.0,Mumbai,Commercial Real Estate,Aryaman Vir,6000000,
785,June,BimaPe,2020.0,Mumbai,FinTech,"iSeed, Titan Capital",500000,Pre-seed
787,June,Saarthi Pedagogy,2015.0,Ahmadabad,EdTech,"Sushil Agarwal, JITO Angel Network, LetsVenture",1000000,
788,June,Synapsica,2017.0,New Delhi,HealthCare,"IvyCap Ventures, Endiya Partners",4000000,Series A
789,June,Kwik Foods,2020.0,Gurugram,Food & Beverages,9Unicorns,Undisclosed,Seed
790,June,Plutomen,2016.0,Ahmadabad,AR startup,"GUSEC Seed Fund, DeVX Venture Fund",300000,Pre-series B
791,June,GoMechanic,2016.0,Gurugram,Automotive,"Tiger Global, Sequoia",42000000,Series C
792,June,Grinntech,2013.0,Chennai,Automotive,,2000000,Pre-series B
793,June,Nobel Hygiene,1999.0,Mumbai,Healthcare,Quadria Capital,60000000,Pre-series B
794,June,Green Cure,2015.0,New Delhi,Healthcare,Venture Catalysts,Undisclosed,Pre-series A
795,June,Classplus,2017.0,Noida,EdTech,Tiger Global,65000000,Series C
796,June,WINDO,2020.0,Hyderabad,E-commerce,Unicorn India Ventures,500000,Seed
797,June,ApnaKlub,2020.0,Bangalore,E-commerce,"Blume Ventures, Whiteboard Capital",Undisclosed,Pre-series A
801,June,GoBolt,2015.0,Gurugram,Logistics,"Paragon Partners, Aavishkaar Capital",20000000,Series B
802,June,Loco,2018.0,Bangalore,Gaming,"Krafton, Lumikai",9000000,Seed
803,June,Auric,2017.0,New Delhi,Healthcare,Venture Catalysts,2000000,Pre-series A
804,June,Edmingle,2016.0,Bangalore,EdTech,"Indovation Fund, Mumbai Angels",300000,Pre-series B
806,June,Humit,2020.0,Bangalore,Music,Antler India,Undisclosed,Pre-seed
